CustomerID,total_spending,avg_spending,transaction_count,avg_quantity,Region_Europe,Region_North America,Region_South America,Cluster
C0064,4039.77,807.954,5,2.6,1,0,0,2
C0065,7663.7,766.37,10,2.7,0,1,0,1
C0066,3799.2799999999997,1266.4266666666665,3,3.0,1,0,0,2
C0067,4090.84,681.8066666666667,6,2.3333333333333335,0,1,0,0
C0068,5950.42,743.8025,8,2.75,0,1,0,0
C0069,2878.69,575.738,5,2.0,1,0,0,2
C0070,3125.49,781.3725,4,3.0,1,0,0,2
C0071,1400.83,466.9433333333333,3,2.3333333333333335,0,0,1,3
C0072,2999.59,599.918,5,2.6,0,1,0,0
C0073,2060.54,686.8466666666667,3,3.3333333333333335,1,0,0,2
C0074,3055.2200000000003,1018.4066666666668,3,2.6666666666666665,1,0,0,2
C0075,5848.97,649.8855555555556,9,3.111111111111111,1,0,0,2
C0076,2333.06,466.61199999999997,5,2.2,0,0,1,3
C0077,837.3,279.09999999999997,3,2.3333333333333335,0,0,1,3
C0078,995.52,995.52,1,2.0,0,0,0,3
C0079,4251.5599999999995,1062.8899999999999,4,3.0,0,1,0,0
C0080,1007.52,1007.52,1,3.0,0,0,0,3
C0081,3542.48,590.4133333333333,6,2.3333333333333335,1,0,0,2
C0082,7572.91,1081.8442857142857,7,3.2857142857142856,0,0,1,1
C0083,642.8,214.26666666666665,3,1.3333333333333333,0,0,1,3
C0084,4441.1,493.4555555555556,9,2.2222222222222223,0,0,0,1
C0085,2598.33,866.11,3,2.3333333333333335,0,0,1,3
C0086,2754.68,550.9359999999999,5,2.6,1,0,0,2
C0087,6604.23,943.4614285714285,7,3.142857142857143,0,0,1,1
C0088,2135.38,427.076,5,2.0,0,0,0,3
C0089,2556.2200000000003,1278.1100000000001,2,3.5,1,0,0,2
C0090,4138.16,591.1657142857142,7,2.2857142857142856,0,0,0,1
C0091,3137.66,522.9433333333333,6,3.3333333333333335,0,0,1,3
C0092,3015.95,753.9875,4,2.5,0,0,0,3
C0093,5294.99,588.3322222222222,9,2.111111111111111,0,0,0,1
C0094,1166.97,291.7425,4,2.25,0,1,0,0
C0095,1284.27,642.135,2,2.5,0,0,1,3
C0096,6072.92,1214.584,5,3.2,0,0,1,1
C0097,137.54,137.54,1,1.0,0,0,0,3
C0098,3158.02,394.7525,8,1.75,0,1,0,0
C0099,6715.72,839.465,8,2.625,0,0,1,1
C0100,5003.45,833.9083333333333,6,2.3333333333333335,1,0,0,2
C0101,5550.99,693.87375,8,2.5,0,0,0,1
C0102,6132.360000000001,766.5450000000001,8,2.625,0,0,1,1
C0103,2462.5499999999997,492.50999999999993,5,1.4,1,0,0,2
C0104,6579.1,822.3875,8,2.625,0,0,1,1
C0105,4807.45,801.2416666666667,6,2.6666666666666665,1,0,0,2
C0106,2939.3,587.86,5,2.6,0,0,0,3
C0107,3623.92,724.784,5,2.4,0,0,1,3
C0108,4848.54,692.6485714285715,7,2.2857142857142856,0,0,1,1
C0109,5487.25,498.84090909090907,11,2.909090909090909,0,1,0,0
C0110,942.32,942.32,1,4.0,0,0,0,3
C0111,1973.02,394.604,5,3.2,1,0,0,2
C0112,1959.51,653.17,3,2.6666666666666665,0,0,1,3
C0113,4812.1,601.5125,8,2.75,0,0,1,1
C0114,5780.43,1156.086,5,3.6,1,0,0,2
C0115,3137.18,1045.7266666666667,3,2.6666666666666665,0,0,0,3
C0116,2758.6800000000003,459.78000000000003,6,1.8333333333333333,0,1,0,0
C0117,4028.2700000000004,1007.0675000000001,4,3.0,0,1,0,0
C0118,3434.77,572.4616666666667,6,1.6666666666666667,0,0,1,3
C0119,1191.61,238.32199999999997,5,1.2,1,0,0,2
C0120,2470.02,823.34,3,3.0,0,0,1,3
C0121,974.52,243.63,4,2.0,1,0,0,2
C0122,5072.55,724.65,7,2.4285714285714284,0,1,0,0
C0123,1400.06,700.03,2,2.0,0,0,0,3
C0124,4264.33,609.1899999999999,7,2.7142857142857144,1,0,0,2
C0125,2973.96,743.49,4,2.5,0,1,0,0
C0126,4565.57,760.9283333333333,6,2.1666666666666665,0,0,1,1
C0127,3232.88,538.8133333333334,6,1.8333333333333333,1,0,0,2
C0128,773.19,386.595,2,1.5,0,0,0,3
C0129,2339.61,779.87,3,3.0,0,0,1,3
C0130,601.36,601.36,1,2.0,0,0,1,3
C0131,1943.82,647.9399999999999,3,2.3333333333333335,0,1,0,0
C0132,1851.2599999999998,617.0866666666666,3,2.6666666666666665,1,0,0,2
C0133,2884.33,721.0825,4,2.75,0,0,1,3
C0134,2679.28,535.856,5,3.2,0,0,0,3
C0135,3135.58,783.895,4,2.5,1,0,0,2
C0136,4298.99,716.4983333333333,6,3.5,0,0,0,1
C0137,3332.55,666.51,5,2.2,0,0,1,3
C0138,5610.25,1122.05,5,3.4,0,0,0,1
C0139,3703.64,462.955,8,1.625,0,1,0,0
C0140,1888.1399999999999,944.0699999999999,2,2.5,0,0,0,3
C0141,10673.869999999999,1067.387,10,2.7,1,0,0,1
C0142,2239.04,559.76,4,2.75,0,0,0,3
C0143,6044.63,863.5185714285715,7,3.0,0,0,0,1
C0144,1304.6799999999998,652.3399999999999,2,4.0,0,1,0,0
C0145,5771.27,721.40875,8,2.5,0,0,0,1
C0146,2570.8,642.7,4,2.0,0,0,0,3
C0147,2948.44,327.6044444444444,9,1.5555555555555556,0,0,1,3
C0148,5457.79,1091.558,5,3.6,0,0,1,1
C0149,4404.78,880.9559999999999,5,3.0,1,0,0,2
C0150,580.34,580.34,1,2.0,0,0,1,3
C0151,223.96,223.96,1,4.0,0,0,1,3
C0152,3385.8599999999997,677.1719999999999,5,2.0,0,0,1,3
C0153,4744.79,790.7983333333333,6,2.8333333333333335,0,0,1,1
C0154,3703.61,617.2683333333333,6,1.8333333333333333,0,1,0,0
C0155,5377.83,768.2614285714286,7,2.4285714285714284,0,0,1,1
C0156,7634.45,694.040909090909,11,2.5454545454545454,0,1,0,1
C0157,1876.1,375.21999999999997,5,2.0,0,1,0,0
C0158,3716.52,929.13,4,2.25,0,0,1,3
C0159,2072.41,690.8033333333333,3,2.6666666666666665,0,0,0,3
C0160,2926.93,585.386,5,2.8,0,1,0,0
C0161,3141.83,392.72875,8,1.75,0,0,0,3
C0162,4802.24,600.28,8,2.5,0,0,0,1
C0163,5775.28,962.5466666666666,6,3.1666666666666665,0,0,1,1
C0164,3087.69,617.538,5,2.0,1,0,0,2
C0165,6708.1,745.3444444444444,9,3.3333333333333335,0,0,1,1
C0166,2405.3500000000004,601.3375000000001,4,2.75,1,0,0,2
C0167,2300.42,766.8066666666667,3,2.6666666666666665,1,0,0,2
C0168,5053.83,1263.4575,4,3.0,0,0,1,1
C0169,4533.32,755.5533333333333,6,3.3333333333333335,0,0,1,1
C0170,4931.74,986.348,5,3.0,1,0,0,2
C0171,5145.35,1029.0700000000002,5,3.0,0,0,1,1
C0172,2201.7,366.95,6,1.6666666666666667,1,0,0,2
C0173,5808.04,726.005,8,2.5,0,0,0,1
C0174,2891.95,578.39,5,2.4,0,0,1,3
C0175,6210.53,621.053,10,2.6,0,0,0,1
C0176,2331.32,777.1066666666667,3,4.0,0,1,0,0
C0177,2509.81,627.4525,4,2.25,0,0,0,3
C0178,2708.83,677.2075,4,2.25,0,0,0,3
C0179,3652.83,608.805,6,2.3333333333333335,1,0,0,2
C0181,3347.6000000000004,557.9333333333334,6,2.5,0,0,1,3
C0182,4980.7699999999995,996.1539999999999,5,3.4,1,0,0,2
C0183,3850.2200000000003,770.0440000000001,5,2.4,0,1,0,0
C0184,3393.1800000000003,484.74000000000007,7,1.5714285714285714,0,0,1,3
C0185,3424.3199999999997,1141.4399999999998,3,3.0,0,1,0,0
C0186,1761.6399999999999,587.2133333333333,3,2.3333333333333335,0,0,0,3
C0187,4612.44,922.4879999999999,5,2.2,0,0,1,1
C0188,7111.320000000001,888.9150000000001,8,2.625,0,0,1,1
C0189,2643.21,528.642,5,2.2,0,1,0,0
C0190,2983.02,596.604,5,2.8,0,0,1,3
C0191,2997.9700000000003,599.594,5,2.2,0,0,1,3
C0192,2072.7200000000003,518.1800000000001,4,2.0,0,0,1,3
C0193,3009.2900000000004,752.3225000000001,4,2.75,0,0,0,3
C0194,3869.17,552.7385714285714,7,2.0,0,1,0,0
C0195,4036.27,672.7116666666667,6,2.8333333333333335,0,0,1,1
C0196,4982.88,1245.72,4,3.0,1,0,0,2
C0197,1928.65,642.8833333333333,3,3.0,1,0,0,2
C0198,931.83,465.915,2,1.5,1,0,0,2
C0199,1979.28,494.82,4,2.25,1,0,0,2
C0200,4758.6,951.72,5,3.2,0,0,0,1
